Field,Data Type,Document Count
plot,string,20203
genres,array,21237
runtime,number,20910
cast,array,20987
poster,string,18044
title,string,21349
fullplot,string,19852
languages,array,21119
directors,array,21107
rated,string,11455
awards.wins,number,21349
awards.nominations,number,21349
awards.text,string,21349
lastupdated,string,21349
year,number,21314
imdb.rating,number,21288
imdb.votes,number,21287
imdb.id,number,21349
countries,array,21339
type,string,21349
tomatoes.viewer.rating,number,18566
tomatoes.viewer.numReviews,number,18583
tomatoes.viewer.meter,number,16199
tomatoes.fresh,number,10528
tomatoes.critic.rating,number,10463
tomatoes.critic.numReviews,number,10528
tomatoes.critic.meter,number,10476
tomatoes.rotten,number,10528
num_mflix_comments,number,21349
writers,array,20256
tomatoes.website,string,6459
tomatoes.production,string,12843
tomatoes.consensus,string,4692
metacritic,number,6964
tomatoes.boxOffice,string,3409
imdb.rating,string,61
imdb.votes,string,62
year,string,35
